Class,Message
what,what kind of books does fodor 's publish ?
when,when was the bill of rights ratified ?
what,what dictator has the nickname `` el maximo '' ?
what,what 's the origin of the word ` news ' ?
affirmation,does this monitor read humidity levels below 16% ?
unknown,how can your school march in the macy 's thanksgiving parade ?
what,what is the state nickname of mississippi ?
what,what war did florence nightingale tend the troops in ?
what,what is the history of valentine 's day cards ?
unknown,whom did the chicago bulls beat in the 1993 championship ?
affirmation,can it be wall mounted ?
when,when will the millennium officially begin ?
what,what causes the redness in your cheeks when you blush ?
unknown,how can i find a phone number of someone if i only know their email address ?
affirmation,will these range replacement knobs fit a tappan electric stove ?
when,when did cnn begin broadcasting ?
who,who was the lead actress in the movie ` sleepless in seattle ' ?
who,who portrayed w.c. fields in the film w.c. fields and me ?
what,what is the fear of being loved ?
unknown,why do horseshoes bring luck ?
what,what was queen victoria 's title regarding india ?
unknown,where is mozambique located ?
who,who was the first woman golfer to earn a million ?
who,who was the first king of england ?
what,what sign is the water carrier the zodiacal symbol for ?
when,when was the first flush toilet invented ?
who,who is shirley maclaine ?
who,who was the first holy roman emperor ?
what,what makes hamburgers taste like steakburgers ?
affirmation,is this downdraft ventilation ?
who,who is luke skywalker 's father ?
what,what was the price of varian associates ' vacuum products division ?
who,who spoke the only word in mel brooks 's silent movie ?
who,who was the lawyer for randy steven craft ?
unknown,how did jayne mansfield die ?
what,what part did john peter zenger play in the deveopment of the newspaper in america ?
what,what russian master spy lived in the u.s. under the name emil goldfus ?
what,what is the jewish bible called ?
what,what is the belt of low pressure around the equator called ?
affirmation,can these be recycled some way ?
what,what is a fear of passing high objects ?
what,what is a language spoken by the sioux ?
what,what is colin powell best known for ?
what,what are maid-rites ?
what,what part of your body contains the corpus callosum ?
who,who is prince naseem hamed ?
who,who is the father of the computer ?
what,what is measured in curies ?
what,"what city boasts penn 's landing , on the banks of the delaware river ?"
what,what is a fear of bees ?
who,who wrote the night of the iguana ?
affirmation,do these work on induction cooktops ?
when,when did the neanderthal man live ?
what,"what tv comediennes 's characters include former movie star nora desmond , secretary mrs. wiggins and a housewife named eunice ?"
who,who led the opposition when konrad adenauer was chancellor in germany ?
what,what are the different types of plastic ?
unknown,whom did friz freleng add to the warner bros. cartoon ranks ?
when,when did the jurassic period end ?
what,what is the largest city on the great lakes ?
who,who invented make-up ?
who,who co-starred with julie andrews in mary poppins ?
what,"what then-derogatory term was applied to the painters monet , sisley , pissarro , renoir and degas ?"
what,what russian city boasts the hermitage museum ?
what,"what events happened january 26 , 1978 ?"
unknown,name the only extant trilogy of classical greek plays .
who,who is imam hussain ben ali whom shia people believe in ?
who,who was thucydides ?
unknown,"what game 's board shows the territories of irkutsk , yakutsk and kamchatka ?"
affirmation,is it possible to calibrate ?
what,what does the latin ante mortem mean ?
who,who 's the founder and editor of the national review ?
what,what is the origin of the expression `` tout de suite '' ?
what,what 1966 boob tube bomb took astronauts back to prehistoric times ?
who,who said : `` the victor will never be asked if he told the truth '' ?
what,what indian tribe is f troop perpetually doing battle with ?
who,who created the character of scrooge ?
who,who were the five marx brothers ?
unknown,where can i find a list of `` classic '' books 5th and 6th graders should read ?
what,what does nafta stand for ?
what,what was the occupation of mandy rice-davies ?
what,what u.s. state is fort knox in ?
what,what countries have the largest areas of forest ?
what,what historical event happened in dogtown in 1899 ?
what,what is a transistor ?
who,"who is john macarthur , 1767-1834 ?"
when,when was the g7 group of nations formed ?
who,who is the creator of `` the muppets '' ?
what,what is the meaning of jesus ?
